"113年05月 2330 台積電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"113/05/02","47,536,363","36,983,047,647","789.00","789.00","772.00","772.00","-18.00","85,051",
"113/05/03","31,026,748","24,240,817,990","788.00","788.00","773.00","780.00","+8.00","35,153",
"113/05/06","33,733,509","26,644,713,164","791.00","793.00","786.00","786.00","+6.00","32,394",
"113/05/07","35,917,824","28,623,349,239","797.00","800.00","792.00","800.00","+14.00","38,340",
"113/05/08","22,585,765","18,032,263,877","794.00","802.00","792.00","802.00","+2.00","23,525",
"113/05/09","22,863,681","18,267,303,103","798.00","802.00","796.00","796.00","-6.00","23,671",
"113/05/10","27,560,431","22,107,595,449","803.00","807.00","798.00","802.00","+6.00","41,029",
"113/05/13","38,146,948","31,315,059,679","823.00","825.00","818.00","819.00","+17.00","49,327",
"113/05/14","29,663,617","24,309,306,615","816.00","825.00","811.00","825.00","+6.00","34,685",
"113/05/15","41,805,778","35,112,739,055","838.00","844.00","837.00","839.00","+14.00","57,892",
"113/05/16","46,276,890","39,179,826,883","852.00","856.00","837.00","841.00","+2.00","60,617",
"113/05/17","27,855,719","23,373,478,247","848.00","848.00","834.00","835.00","-6.00","38,718",
"113/05/20","30,148,330","25,069,342,221","834.00","838.00","822.00","835.00"," 0.00","43,094",
"113/05/21","20,548,110","17,214,095,315","830.00","841.00","830.00","841.00","+6.00","20,770",
"113/05/22","40,904,357","35,027,824,713","845.00","865.00","843.00","864.00","+23.00","63,360",
"113/05/23","40,771,207","35,638,205,695","875.00","877.00","867.00","875.00","+11.00","50,325",
"113/05/24","37,353,467","32,358,555,678","858.00","872.00","858.00","867.00","-8.00","50,611",
"113/05/27","32,691,921","28,496,096,179","872.00","878.00","866.00","869.00","+2.00","42,682",
"113/05/28","32,712,504","28,375,286,215","867.00","873.00","865.00","865.00","-4.00","37,323",
"113/05/29","51,073,346","43,924,367,680","861.00","868.00","856.00","857.00","-8.00","67,680",
"113/05/30","42,535,118","35,840,589,611","841.00","848.00","838.00","838.00","-19.00","110,390",
"113/05/31","90,177,283","74,602,358,441","838.00","846.00","821.00","821.00","-17.00","102,070",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

